,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Yumen,CN,40.2833,97.2,65.08,13,47,9.37,scattered clouds
79,Yellowknife,CA,62.456,-114.3525,35.33,64,20,3,few clouds
80,Port Alfred,ZA,-33.5906,26.891,81.52,35,58,10.67,broken clouds
81,Scarborough,GB,54.2797,-0.4044,60.84,69,91,8.25,overcast clouds
82,Pemangkat,ID,1.1667,108.9667,81.7,76,38,2.28,scattered clouds
83,Buin,CL,-33.7333,-70.75,59.32,30,0,1.23,clear sky
84,Tautira,PF,-17.7333,-149.15,77.02,76,55,6.15,broken clouds
85,Codrington,AU,-38.2667,141.9667,67.05,46,100,23.11,overcast clouds
86,Qaanaaq,GL,77.484,-69.3632,28.47,71,20,8.9,few clouds
87,Topsham,US,43.9276,-69.9759,62.1,52,0,1.01,clear sky
88,East London,ZA,-33.0153,27.9116,83.34,34,0,6.91,clear sky
89,Katobu,ID,-4.9408,122.5276,75,93,40,4.16,scattered clouds
90,Nantucket,US,41.2835,-70.0995,63.25,47,1,10.36,clear sky
91,Pierre,US,44.3683,-100.351,61,63,1,12.66,clear sky
92,Westport,US,41.1415,-73.3579,66.06,57,75,1.01,broken clouds
93,Ribeira Grande,PT,38.5167,-28.7,64.8,68,20,12.66,few clouds
94,Rohnert Park,US,38.3396,-122.7011,58.62,78,90,1.01,overcast clouds
95,Karoi,ZW,-16.8099,29.6925,72.18,31,3,3.94,clear sky
96,Palmer,US,42.1584,-72.3287,64.94,53,75,4.21,broken clouds
97,Isiolo,KE,0.3546,37.5822,77.76,57,85,13.91,overcast clouds
98,Jamestown,US,42.097,-79.2353,67.33,65,75,4,broken clouds
99,Olinda,BR,-8.0089,-34.8553,82.13,65,40,11.99,scattered clouds
100,Doka,SD,13.5167,35.7667,103.87,7,5,8.43,clear sky
101,Santa Maria Do Suacui,BR,-18.1903,-42.4142,85.69,41,8,2.93,clear sky
102,Luderitz,NA,-26.6481,15.1594,73.42,45,89,4.36,overcast clouds
103,Chokurdakh,RU,70.6333,147.9167,24.67,100,67,6.53,broken clouds
104,Kenora,CA,49.8167,-94.4337,52.77,93,90,13.8,overcast clouds
105,Moratuwa,LK,6.773,79.8816,81.41,82,100,16.6,heavy intensity rain
106,Gloversville,US,43.0528,-74.3438,64.11,48,1,4,clear sky
107,Porlamar,VE,10.958,-63.8491,81.5,73,85,18.95,overcast clouds
108,Kardla,EE,58.9978,22.7492,55.38,76,75,6.91,broken clouds
109,Bethel,US,41.3712,-73.414,64.51,63,90,11.5,overcast clouds
110,Lebu,CL,-37.6167,-73.65,55.69,86,97,2.68,overcast clouds
111,Castro,BR,-24.7911,-50.0119,54.61,54,7,9.26,clear sky
112,Chuy,UY,-33.6971,-53.4616,56.59,70,17,15.52,few clouds
113,Deputatskiy,RU,69.3,139.9,33.19,67,6,3.62,clear sky
114,Kaoma,ZM,-14.7833,24.8,78.57,28,0,9.37,clear sky
115,Tiksi,RU,71.6872,128.8694,34.45,76,100,9.98,overcast clouds
116,Sebinkarahisar,TR,40.2883,38.4236,66.11,56,3,6.76,clear sky
117,Washington,US,47.5001,-120.5015,56.62,67,100,7,overcast clouds
118,Mar Del Plata,AR,-38.0023,-57.5575,58.08,31,0,11.99,clear sky
119,Caravelas,BR,-17.7125,-39.2481,86.02,52,41,10,scattered clouds
120,Watsa,CD,3.0372,29.5355,79.56,61,47,4.79,scattered clouds
121,Canico,PT,32.6333,-16.85,74.71,66,40,14.83,scattered clouds
122,Astana,KZ,51.1801,71.446,84.15,28,0,5.17,clear sky
123,Whitehorse,CA,60.7161,-135.0538,39.97,93,90,5.01,overcast clouds
124,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,59,40,12.84,scattered clouds
125,Saint-Louis,SN,16.3333,-15,101.71,13,0,8.77,clear sky
126,Upernavik,GL,72.7868,-56.1549,30.24,70,51,7.54,broken clouds
127,Nikolskoye,RU,59.7035,30.7861,60.69,53,15,11.7,few clouds
128,Cascais,PT,38.6979,-9.4215,71.46,52,40,13,scattered clouds
129,West Bay,KY,19.3667,-81.4167,84.27,80,75,5.01,broken clouds
130,Canaries,ES,28,-15.5,67.96,61,40,16.87,scattered clouds
131,Tual,ID,-5.6667,132.75,82.45,76,100,16.98,overcast clouds
132,Haifa,IL,32.8156,34.9892,84.61,61,20,10.36,few clouds
133,Atar,MR,20.5169,-13.0499,105.31,12,0,10.33,clear sky
134,North Salt Lake,US,40.8486,-111.9069,53.24,67,20,1.01,few clouds
135,Winnemucca,US,40.973,-117.7357,49.1,48,75,7.27,broken clouds
136,Tarauaca,BR,-8.1614,-70.7656,73.47,99,100,2.86,overcast clouds
137,Brae,GB,60.3964,-1.353,48.11,86,100,20.22,overcast clouds
138,Toba Tek Singh,PK,30.9743,72.4827,96.71,18,0,4.7,clear sky
139,Northam,GB,51.0333,-4.2167,52.34,83,27,25.68,light rain
140,Nacala,MZ,-14.5428,40.6728,71.92,86,76,12.06,light rain
141,Grindavik,IS,63.8424,-22.4338,50.56,69,75,15.21,broken clouds
142,Faanui,PF,-16.4833,-151.75,81.19,72,8,4.72,clear sky
143,Saint Marys,US,30.7305,-81.5465,81.12,67,1,8.01,clear sky
144,Sitka,US,57.0531,-135.33,46.29,76,90,9.22,overcast clouds
145,Carnarvon,AU,-24.8667,113.6333,60.87,77,40,10.36,scattered clouds
146,Dzhebariki-Khaya,RU,62.2167,135.8,44.58,79,100,4.27,overcast clouds
147,Bredasdorp,ZA,-34.5322,20.0403,67.32,67,100,4.97,overcast clouds
148,Montemor-O-Novo,PT,38.6481,-8.2145,71.01,44,89,10.45,overcast clouds
149,Puerto Ayora,EC,-0.7393,-90.3518,78.76,89,87,5.99,overcast clouds
150,Camocim,BR,-2.9022,-40.8411,86.22,62,88,12.12,overcast clouds
151,Kiunga,PG,-6.1219,141.2906,74.01,99,100,4.23,heavy intensity rain
152,Minab,IR,27.1467,57.0801,92.7,41,0,9.69,clear sky
153,Trois-Rivieres,CA,46.3501,-72.5491,58.75,49,1,4.61,clear sky
154,Fort Saint James,CA,54.4333,-124.25,47.3,64,90,4.88,overcast clouds
155,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,64,75,15.41,broken clouds
156,Ponta Do Sol,PT,32.6667,-17.1,74.71,59,89,4.03,overcast clouds
157,Mayo,US,38.8876,-76.5119,67.98,67,90,7,overcast clouds
158,Pacific Grove,US,36.6177,-121.9166,54.57,90,90,5.99,overcast clouds
159,Kaberamaido,UG,1.7389,33.1594,79.02,64,30,3.22,light rain
160,Hualmay,PE,-11.0964,-77.6139,65.93,82,48,4.25,scattered clouds
161,Praya,CV,14.9215,-23.5087,81.14,54,20,20.71,few clouds
162,Batagay-Alyta,RU,67.8006,130.4114,36.5,60,26,4.47,scattered clouds
163,Geraldton,AU,-28.7667,114.6,57.61,66,75,12.88,light rain
164,Poli,TZ,-3.3333,36.8,66.06,63,49,4.12,scattered clouds
165,Rio Gallegos,AR,-51.6226,-69.2181,37.45,75,40,13.8,scattered clouds
166,Sumy,UA,50.9216,34.8003,52.54,93,100,14.41,moderate rain
167,Chyhyryn,UA,49.0838,32.6555,55.02,94,100,24.49,overcast clouds
168,Rey Bouba,CM,8.6724,14.1786,104.2,20,99,5.06,overcast clouds
169,Anahuac,MX,27.2333,-100.15,76.5,79,85,15.12,overcast clouds
170,Leningradskiy,RU,69.3833,178.4167,23.47,92,56,6.35,broken clouds
171,Victoria,HK,22.2855,114.1577,86.32,84,100,4.83,overcast clouds
172,San Patricio,US,28.017,-97.5169,81.07,82,25,10.56,scattered clouds
173,Garowe,SO,8.4054,48.4845,88.2,37,94,9.66,overcast clouds
174,Hobyo,SO,5.3505,48.5268,81.3,70,73,23.15,light rain
175,Khuzdar,PK,27.7384,66.6434,92.57,9,43,11.12,scattered clouds
176,Fernan-Nunez,ES,37.6884,-4.7247,82.29,19,0,5.53,clear sky
177,Two Hills,CA,53.7169,-111.7518,52.16,95,100,12.26,light rain
178,Kahului,US,20.8947,-156.47,72.66,83,1,0,clear sky
179,Palauig,PH,15.435,119.9045,81.99,76,23,4.29,few clouds
180,Payo,ID,-3.7508,103.6372,75.24,94,25,2.75,scattered clouds
181,Jizan,SA,17.3333,42.6667,94.14,25,0,13.04,clear sky
182,Pedernales,DO,18.0384,-71.744,84.22,63,81,3.18,broken clouds
183,Fortuna,US,40.5982,-124.1573,51.37,63,90,1.99,overcast clouds
184,Hilo,US,19.7297,-155.09,81.28,88,90,4.61,light rain
185,Seoul,KR,37.5683,126.9778,60.31,60,3,4.27,clear sky
186,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.19,78,40,11.5,scattered clouds
187,Eureka,US,40.8021,-124.1637,51.64,89,49,1.01,scattered clouds
188,Souillac,MU,-20.5167,57.5167,72.36,74,75,14.03,broken clouds
189,Indiana,US,40.0003,-86.2503,80.31,65,75,0,broken clouds
190,Lagoa,PT,39.05,-27.9833,60.58,63,100,9.78,overcast clouds
191,North Bend,US,43.4065,-124.2243,54.99,83,90,6.91,overcast clouds
192,Tombouctou,ML,20,-3,109.4,11,31,2.73,scattered clouds
193,Calvinia,ZA,-31.4707,19.776,74.37,24,96,17.16,overcast clouds
194,Klaksvik,FO,62.2266,-6.589,50.92,85,10,9.48,clear sky
195,Safford,US,32.834,-109.7076,71.11,9,1,3.44,clear sky
196,Hovd,MN,48.0056,91.6419,69.39,25,100,15.7,overcast clouds
197,Chernyakhovsk,RU,54.6335,21.8156,60.85,68,81,7.38,broken clouds
198,Sorland,NO,67.667,12.6934,50.07,61,0,8.05,clear sky
199,Hambantota,LK,6.1241,81.1185,81.55,83,100,20.65,heavy intensity rain
200,Teya,RU,60.3778,92.6267,47.8,93,100,0.25,light rain
201,Berbera,SO,10.4396,45.0143,94.14,47,79,13.82,broken clouds
202,Adrar,MR,20.5022,-10.0711,107.71,9,37,13.24,scattered clouds
203,Tasiilaq,GL,65.6145,-37.6368,33.96,78,100,26.15,overcast clouds
204,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,74,20,3.04,few clouds
205,Orlik,RU,52.5178,99.825,41.49,98,100,3.56,light rain
206,Hamilton,US,39.1834,-84.5333,79.99,73,1,1.01,clear sky
207,Tynda,RU,55.1667,124.7167,35.2,98,100,9.51,overcast clouds
208,Merauke,ID,-8.4667,140.3333,77.9,84,100,15.86,overcast clouds
209,Kutulik,RU,53.3508,102.7839,47.34,97,100,9.42,light rain
210,Fuyang,CN,32.9,115.8167,71.6,53,96,11.92,light rain
211,Mandalgovi,MN,45.7625,106.2708,55.17,42,100,11.41,overcast clouds
212,Robertsport,LR,6.7533,-11.3686,84.92,73,50,8.41,light rain
213,Porbandar,IN,21.6422,69.6093,87.78,74,20,20.71,few clouds
214,Yashkul,RU,46.1711,45.3435,82.18,45,100,14.03,overcast clouds
215,Portland,US,45.5234,-122.6762,52.84,91,90,1.01,light rain
216,Sharjah,AE,25.3573,55.4033,102.36,49,0,10.74,clear sky
217,Nome,US,64.5011,-165.4064,46.47,53,1,10.36,clear sky
218,Floro,NO,61.5996,5.0328,62.67,82,20,16.11,few clouds
219,Jiwani,PK,25.05,61.7417,84.29,80,0,11.72,clear sky
220,Rafina,GR,38.0181,24.006,92.82,37,0,5.01,clear sky
221,Airai,TL,-8.9266,125.4092,58.82,94,76,2.06,broken clouds
222,Mitsamiouli,KM,-11.3847,43.2844,79.11,64,21,11.97,few clouds
223,Sarh,TD,9.1429,18.3923,98.51,34,20,6.91,few clouds
224,Port Elizabeth,ZA,-33.918,25.5701,83.07,27,56,12.86,broken clouds
225,Khatanga,RU,71.9667,102.5,32.52,99,100,6.71,overcast clouds
226,Hasaki,JP,35.7333,140.8333,68.4,72,100,19.89,overcast clouds
227,Esperance,AU,-33.8667,121.9,56.08,61,98,27.83,overcast clouds
228,Askiz,RU,53.1319,90.5264,56.41,84,7,7.29,light rain
