City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Basco,PH,83.97,few clouds,20.4487,121.9702,Nathaniel's Lodge
257,Oranjestad,AW,85.95,broken clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
262,La Mana,EC,83.41,broken clouds,-0.9333,-79.2167,Hotel Somagg
265,Cabo Rojo,PR,88.25,clear sky,18.0866,-67.1457,Hotel Perichi's
267,Itigi,TZ,77.16,clear sky,-5.7,34.4833,Hostel San Sebastiano
268,Wilmington,US,86.99,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
269,Honiara,SB,77.16,overcast clouds,-9.4333,159.95,Heritage Park Hotel
271,Grand-Santi,GF,76.39,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
276,Sola,VU,76.75,overcast clouds,-13.8833,167.55,Leumerus Bungalows
278,Sambava,MG,77.22,clear sky,-14.2667,50.1667,Melrose
282,Rangapara,IN,81.12,overcast clouds,26.8167,92.65,Bidhan
292,Bengkulu,ID,78.75,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
296,Natagaima,CO,80.71,broken clouds,3.6206,-75.0941,Hotel El Gran Palacio- Nury
306,Nkan,GA,87.57,moderate rain,0.3833,9.7833,Hôtel Santa Barbara
308,Carutapera,BR,86.61,overcast clouds,-1.195,-46.02,Lidera
310,Corralillo,CU,80.46,scattered clouds,22.9819,-80.5856,Hostal De Pedri
312,Vanimo,PG,78.84,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
313,Cayenne,GF,79.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
314,Barcelona,ES,83.01,few clouds,41.3888,2.1590000000000003,Axel Hotel Barcelona
316,Yanam,IN,86.4,overcast clouds,16.7333,82.2167,The Regency Hotel
319,Bani,DO,83.75,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
320,Puerto Narino,CO,82.35,clear sky,-3.7703,-70.3831,Eware Refugio Amazonico
333,Valdez,EC,78.62,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
335,Kananga,CD,87.44,broken clouds,-5.8958,22.4178,Guest House Wood Land
342,Davila,PH,83.5,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
343,Calatayud,ES,75.78,broken clouds,41.3535,-1.6432,Hotel Monasterio Benedictino
349,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
350,Kavaratti,IN,84.13,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
352,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
357,Statesboro,US,80.74,clear sky,32.4488,-81.7832,Holiday Inn Statesboro-University Area
360,Pangkalanbuun,ID,75.69,few clouds,-2.6833,111.6167,Grand Kecubung Hotel
